Ref,Title,Short Title,Mode ID,Mode Description,Material Class,Base Materials,Layer Structure,Origin,Domain,Resonance Wavelength (nm),FOM (RIU^-1),Definition,Sensitivity (nm/RIU),FWHM (nm),Q-factor,Evidence,Location,Review status,Notes
R1,High-Q silicon-on-insulator microring resonator for label-free protein biosensing,SOI microring protein biosensor,1,Fundamental TE mode,Dielectric;Semiconductor,Si;SiO2,Si(220nm) + SiO2(2000nm),EXP,Wavelength,1550,2375,FOM = S / FWHM,76,0.032,48438,The device exhibits a sensitivity of 76 nm/RIU with a measured linewidth of 32 pm at 1550 nm.,Page 4; Fig. 2; Para 3,Approve (AI),
R1,High-Q silicon-on-insulator microring resonator for label-free protein biosensing,SOI microring protein biosensor,1,Fundamental TE mode,Dielectric;Semiconductor,Si;SiO2,Si(220nm) + SiO2(2000nm),SIM,Wavelength,1550,3115,FOM = S / FWHM,81,0.026,59615,FDTD simulations predict a narrower linewidth of 26 pm and sensitivity of 81 nm/RIU.,Page 5; Fig. 3; Para 1,Approve (AI),
R2,Ultra-narrowband Si3N4 ring resonator refractometric sensor,Si3N4 ring refractometric sensor,1,TE0 resonance,Dielectric,Si3N4;SiO2,Si3N4(350nm) + SiO2(3000nm),EXP,Wavelength,1310,2800,FOM = S / FWHM,42,0.015,87333,"A loaded Q of 87,000 was measured, corresponding to a 15 pm linewidth at 1310 nm.",Page 6; Fig. 4; Para 2,Approve (AI),
R2,Ultra-narrowband Si3N4 ring resonator refractometric sensor,Si3N4 ring refractometric sensor,1,TE0 resonance,Dielectric,Si3N4;SiO2,Si3N4(350nm) + SiO2(3000nm),SIM,Wavelength,1310,4091,FOM = S / FWHM,45,0.011,119091,Simulated bulk sensitivity reaches 45 nm/RIU with negligible scattering loss.,Page 7; Fig. 5; Para 1,Approve (AI),
R3,All-dielectric guided-mode resonance biosensor based on TiO2 gratings,TiO2 grating GMR biosensor,1,First-order GMR dip,Dielectric,TiO2;SiO2,TiO2(180nm) + SiO2(400nm),EXP,Wavelength,850,929,FOM = S / FWHM,195,0.21,4048,"The transmission dip narrows to approximately 0.2 nm, read from the log-scale spectrum in Fig. 3.",Page 5; Fig. 3; Para 2,Edit,FWHM digitized from a log-scale transmission plot -- flagged for review.
R3,All-dielectric guided-mode resonance biosensor based on TiO2 gratings,TiO2 grating GMR biosensor,1,First-order GMR dip,Dielectric,TiO2;SiO2,TiO2(180nm) + SiO2(400nm),SIM,Wavelength,850,1281,FOM = S / FWHM,205,0.16,5313,RCWA simulations give a linewidth of 0.16 nm and sensitivity of 205 nm/RIU.,Page 6; Fig. 4; Para 1,Approve (AI),
R4,Photonic crystal nanobeam cavity sensor with dual-mode figure of merit,Photonic crystal nanobeam cavity sensor,1,Mode 1 (dielectric band),Dielectric;Semiconductor,Si;SiO2,Si(250nm) + SiO2(2000nm),SIM,Wavelength,1300,1625,FOM = S / FWHM,130,0.08,16250,"The first cavity mode at 1300 nm shows a simulated Q of 16,000.",Page 8; Fig. 6; Para 2,Approve (AI),
R4,Photonic crystal nanobeam cavity sensor with dual-mode figure of merit,Photonic crystal nanobeam cavity sensor,2,Mode 2 (air band),Dielectric;Semiconductor,Si;SiO2,Si(250nm) + SiO2(2000nm),SIM,Wavelength,1450,1208,FOM = S / FWHM,145,0.12,12083,"A second, air-band-derived mode appears at 1450 nm with a broader linewidth.",Page 8; Fig. 6; Para 3,Approve (AI),
R5,InGaAsP microdisk laser biosensor with active gain enhancement,InGaAsP microdisk laser biosensor,1,Lasing whispering-gallery mode,Semiconductor,InGaAsP;InP,InGaAsP(300nm) + InP(1500nm),EXP,Wavelength,1560,211,FOM = S / FWHM,190,0.9,1733,The lasing peak at 1560 nm has a linewidth of 0.9 nm under optical pumping.,Page 5; Fig. 2; Para 4,Approve (AI),
R5,InGaAsP microdisk laser biosensor with active gain enhancement,InGaAsP microdisk laser biosensor,1,Lasing whispering-gallery mode,Semiconductor,InGaAsP;InP,InGaAsP(300nm) + InP(1500nm),SIM,Wavelength,1560,293,FOM = S / FWHM,205,0.7,2229,Rate-equation modeling predicts a narrower 0.7 nm linewidth above threshold.,Page 6; Fig. 3; Para 2,Approve (AI),
R6,Gold nanohole array surface plasmon resonance sensor for real-time detection,Au nanohole array SPR sensor,1,Extraordinary transmission peak,Metal,Au,Au(50nm),EXP,Wavelength,650,12.5,FOM = S / FWHM,600,48,14,Real-time binding curves were recorded with a bulk sensitivity of 600 nm/RIU.,Page 7; Fig. 4; Para 1,Approve (AI),
R6,Gold nanohole array surface plasmon resonance sensor for real-time detection,Au nanohole array SPR sensor,1,Extraordinary transmission peak,Metal,Au,Au(50nm),SIM,Wavelength,650,16.3,FOM = S / FWHM,650,40,16,FDTD modeling of the hole array reproduces the transmission peak with a 40 nm linewidth.,Page 8; Fig. 5; Para 2,Approve (AI),
R7,Localized surface plasmon resonance biosensor using silver nanodisk arrays,Ag nanodisk LSPR biosensor,1,Dipolar LSPR mode,Metal,Ag,Ag(40nm),EXP,Wavelength,520,,,,65,8,Angular interrogation gives a sensitivity of 0.18 deg/RIU for the dipolar resonance.,Page 4; Fig. 2; Para 2,Edit,Sensitivity reported in deg/RIU (angular interrogation) -- not convertible to nm/RIU; flagged for review.
R8,Hybrid plasmonic-photonic crystal sensor combining gold gratings and SiO2,Hybrid plasmonic-photonic sensor,1,Hybrid plasmonic-photonic mode,Metal;Dielectric,Au;SiO2,Au(30nm) + SiO2(220nm),EXP,Wavelength,780,47.2,FOM = S / FWHM,850,18,43,Coupling the grating to the dielectric slab narrows the plasmonic resonance to 18 nm.,Page 9; Fig. 5; Para 3,Approve (AI),
R8,Hybrid plasmonic-photonic crystal sensor combining gold gratings and SiO2,Hybrid plasmonic-photonic sensor,1,Hybrid plasmonic-photonic mode,Metal;Dielectric,Au;SiO2,Au(30nm) + SiO2(220nm),SIM,Wavelength,780,64.3,FOM = S / FWHM,900,14,56,Simulations show a further narrowed 14 nm linewidth once radiative loss is minimized.,Page 10; Fig. 6; Para 1,Approve (AI),
R9,GST-based tunable Fano resonance sensor with phase-switchable sensitivity,GST tunable Fano resonance sensor,1,Mode A: amorphous-phase Fano dip,Phase-change;Metal,GST;Au,Au(40nm) + GST(20nm),SIM,Wavelength,1097,21.8,FOM = S / FWHM,480,22,50,"In the amorphous state, the Fano resonance appears at a photon energy of 1.13 eV.",Page 6; Fig. 3; Para 2,Approve (AI),Converted from a stated resonance energy of 1.13 eV using λ(nm) = 1239.84 / E(eV).
R9,GST-based tunable Fano resonance sensor with phase-switchable sensitivity,GST tunable Fano resonance sensor,2,Mode B: crystalline-phase Fano dip,Phase-change;Metal,GST;Au,Au(40nm) + GST(20nm),SIM,Wavelength,1250,14.9,FOM = S / FWHM,520,35,36,Switching GST to its crystalline phase redshifts the Fano dip to 1250 nm.,Page 7; Fig. 4; Para 1,Approve (AI),
R10,Thermally tunable VO2/Si3N4 ring resonator for reconfigurable sensing,VO2/Si3N4 tunable ring resonator,1,Insulating-phase resonance,Phase-change;Dielectric,VO2;Si3N4;SiO2,VO2(15nm) + Si3N4(300nm) + SiO2(2000nm),EXP,Wavelength,1310,644,FOM = S / FWHM,58,0.09,14556,"Below the transition temperature, the ring shows a 90 pm linewidth at 1310 nm.",Page 5; Fig. 3; Para 2,Approve (AI),
R10,Thermally tunable VO2/Si3N4 ring resonator for reconfigurable sensing,VO2/Si3N4 tunable ring resonator,1,Insulating-phase resonance,Phase-change;Dielectric,VO2;Si3N4;SiO2,VO2(15nm) + Si3N4(300nm) + SiO2(2000nm),SIM,Wavelength,1310,900,FOM = S / FWHM,63,0.07,18714,Simulations of the insulating phase predict a 70 pm linewidth.,Page 6; Fig. 4; Para 1,Approve (AI),
R11,PDMS microfluidic whispering-gallery-mode ring resonator sensor,PDMS microfluidic ring resonator,1,WGM resonance,Polymer,PDMS;SiO2,PDMS(2000nm) + SiO2(1000nm),EXP,Wavelength,1550,778,FOM = S / FWHM,35,0.045,,The integrated microfluidic ring shows a sensitivity of 35 nm/RIU with a 45 pm linewidth.,Page 4; Fig. 2; Para 3,Approve (AI),
R12,PMMA-clad silica microtoroid resonator for high-sensitivity biosensing,PMMA-clad microtoroid resonator,1,Fundamental toroid mode,Polymer;Dielectric,PMMA;SiO2,PMMA(100nm) + SiO2(500nm),EXP,Wavelength,1550,1556,FOM = S / FWHM,28,0.018,86111,"The PMMA-clad microtoroid retains a loaded Q above 85,000 after functionalization.",Page 6; Fig. 3; Para 1,Approve (AI),
R12,PMMA-clad silica microtoroid resonator for high-sensitivity biosensing,PMMA-clad microtoroid resonator,1,Fundamental toroid mode,Polymer;Dielectric,PMMA;SiO2,PMMA(100nm) + SiO2(500nm),SIM,Wavelength,1550,2214,FOM = S / FWHM,31,0.014,110714,Simulations without surface roughness loss give a narrower 14 pm linewidth.,Page 7; Fig. 4; Para 2,Approve (AI),
R13,Graphene-enhanced surface plasmon resonance fiber-optic sensor,Graphene-enhanced SPR fiber sensor,1,SPR dip with graphene overlayer,2D Material;Metal,Graphene;Au,Graphene(0.34nm) + Au(45nm),EXP,Wavelength,633,43.6,FOM = S / FWHM,2400,55,12,Adding a monolayer of graphene boosts the bulk sensitivity to 2400 nm/RIU.,Page 5; Fig. 3; Para 3,Approve (AI),
R13,Graphene-enhanced surface plasmon resonance fiber-optic sensor,Graphene-enhanced SPR fiber sensor,1,SPR dip with graphene overlayer,2D Material;Metal,Graphene;Au,Graphene(0.34nm) + Au(45nm),SIM,Wavelength,633,54.2,FOM = S / FWHM,2600,48,13,Simulations confirm the graphene layer sharpens the plasmonic dip.,Page 6; Fig. 4; Para 1,Approve (AI),
R14,MoS2-integrated dielectric metasurface for refractive index sensing,MoS2 dielectric metasurface sensor,1,Metasurface resonance,2D Material;Dielectric,MoS2;SiO2,MoS2(6.5nm) + SiO2(300nm),SIM,Wavelength,980,47.7,FOM = S / FWHM,310,6.5,,Adding a few-layer MoS2 flake to the metasurface unit cell increases absorption at resonance.,Page 7; Fig. 5; Para 2,Approve (AI),
R15,All-dielectric bound-states-in-the-continuum metasurface sensor,All-dielectric BIC metasurface sensor,1,Quasi-BIC mode,Dielectric,Si3N4;SiO2,Si3N4(220nm) + SiO2(2000nm),EXP,Wavelength,890,1222,FOM = S / FWHM,110,0.09,9889,Breaking the unit-cell symmetry converts the bound state into a sharp quasi-BIC resonance.,Page 6; Fig. 4; Para 2,Approve (AI),
R15,All-dielectric bound-states-in-the-continuum metasurface sensor,All-dielectric BIC metasurface sensor,1,Quasi-BIC mode,Dielectric,Si3N4;SiO2,Si3N4(220nm) + SiO2(2000nm),SIM,Wavelength,890,2950,FOM = S / FWHM,118,0.04,22250,"An ideal, lossless simulation predicts a radiative Q above 20,000.",Page 7; Fig. 5; Para 1,Approve (AI),
R16,Bimetallic Au/Ag thin-film SPR sensor with enhanced figure of merit,Bimetallic Au/Ag SPR sensor,1,SPR reflectance dip,Metal,Au;Ag,Ag(35nm) + Au(10nm),EXP,Wavelength,700,18.8,FOM = S / FWHM,980,52,13,The thin Au capping layer improves chemical stability without significantly broadening the SPR dip.,Page 5; Fig. 3; Para 2,Approve (AI),
R17,Silicon-on-insulator racetrack resonator array for multiplexed sensing,SOI racetrack resonator array,1,Channel 1 resonance,Dielectric;Semiconductor,Si;SiO2,Si(220nm) + SiO2(2000nm),EXP,Wavelength,1540,1133,FOM = S / FWHM,68,0.06,25667,The first racetrack channel resonates at 1540 nm with a 60 pm linewidth.,Page 8; Fig. 5; Para 1,Approve (AI),
R17,Silicon-on-insulator racetrack resonator array for multiplexed sensing,SOI racetrack resonator array,2,Channel 2 resonance,Dielectric;Semiconductor,Si;SiO2,Si(220nm) + SiO2(2000nm),EXP,Wavelength,1580,1014,FOM = S / FWHM,71,0.07,22571,"The second channel, offset in ring length, resonates at 1580 nm.",Page 8; Fig. 5; Para 2,Approve (AI),
R18,Ta2O5/SiO2 distributed Bragg reflector microdisk resonator sensor,Ta2O5/SiO2 Bragg microdisk sensor,1,Vertical-cavity resonance,Dielectric,Ta2O5;SiO2,Ta2O5(150nm) + SiO2(200nm) + Ta2O5(150nm) + SiO2(200nm),EXP,Wavelength,1064,795,FOM = S / FWHM,175,0.22,4836,The distributed Bragg stack confines the vertical-cavity mode at 1064 nm.,Page 6; Fig. 3; Para 3,Approve (AI),
